title,belongs_to_collection,budget,genre1,genre2,genre3,genre4,genre5,runtime,director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,language,country,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Psycho,NA,60000000,Horror,Mystery,Thriller,,,105,Alfred Hitchcock,290,13000,285,Vera Miles,606,Janet Leigh,422432,1885,John Gavin,2,money|motel|rain|shower|theft,English,USA,332,8.5,18000
Psycho Beach Party,NA,1500000,Comedy,,,,,95,Robert Lee King,51,0,209,Kathleen Robertson,945,Lauren Ambrose,4617,2282,Beth Broderick,1,cliche|exchange student|slasher|spoof|surfing,English,Australia,774,6.3,614
Public Enemies,NA,80000000,History,Crime,Drama,,,140,Michael Mann,357,0,1000,Christian Bale,40000,Johnny Depp,230931,64599,Stephen Graham,1,1930s|bank|celebrity criminal|fbi|public enemy number one,English,USA,23000,7,0
Pulp Fiction,NA,8000000,Thriller,Crime,,,,154,Quentin Tarantino,215,16000,857,Eric Stoltz,13000,Bruce Willis,1324680,16557,Phil LaMarr,1,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,English,USA,902,8.9,45000
Pulse,"{'id': 124188, 'name': 'Pulse Collection', 'poster_path': '/ttm2U2EUHXO8v0qrlKVw5SW8grN.jpg', 'backdrop_path': '/9An6u5Eu7h1J3IWxlari934faJl.jpg'}",38000000,Horror,Thriller,,,,90,Jim Sonzero,148,2,807,Christina Milian,16000,Ian Somerhalder,24969,19952,Rick Gonzalez,0,cell phone|computer|computer hacker|e mail|technology,English,USA,1000,4.7,0
Punch-Drunk Love,NA,25000000,Comedy,Drama,Romance,,,95,Paul Thomas Anderson,251,0,98,Emily Watson,11000,Adam Sandler,109855,11994,Don McManus,0,harmonium|love|phone sex|pudding|sister,English,USA,876,7.3,0
Punisher: War Zone,NA,20500000,Action,Crime,,,,102,Lexi Alexander,151,189,766,Wayne Knight,3000,Julie Benz,48999,6563,Colin Salmon,1,gun fu|plastic surgery|psychopath|undercover|vigilante,English,USA,967,6,0
Purple Violets,NA,4000000,Comedy,Drama,Romance,,,103,Edward Burns,6,0,183,Rosemarie DeWitt,650,Debra Messing,2727,1585,Peter Jacobson,5,directed by star|written and directed by cast member,English,USA,536,6.6,296
Pushing Tin,NA,33000000,Comedy,Drama,,,,124,Mike Newell,56,179,551,Kurt Fuller,11000,Angelina Jolie Pitt,24826,13093,Jake Weber,3,air traffic control|air traffic controller|female bodybuilder|job|marriage,English,USA,617,6,783
Quantum of Solace,"{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/HORpg5CSkmeQlAolx3bKMrKgfi.jpg', 'backdrop_path': '/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg'}",200000000,Adventure,Action,Thriller,Crime,,106,Marc Forster,403,395,393,Mathieu Amalric,451,Giancarlo Giannini,330784,2023,Rory Kinnear,1,action hero|attempted rape|bond girl|official james bond series|revenge,English,UK,412,6.7,0
Quarantine,"{'id': 123932, 'name': 'Quarantine Collection', 'poster_path': '/Aa0hh5DGedQPdFs2e43uRzqXw50.jpg', 'backdrop_path': '/7tMlGUiAGrryUimeKDnECC9mWEZ.jpg'}",12000000,Horror,Science Fiction,Thriller,,,89,John Erick Dowdle,198,66,1000,Jay Hernandez,137000,Andrew Fiscella,57446,140268,Dania Ramirez,0,apartment building|found footage|television|trapped|virus,English,USA,1000,6,0
Quartet,NA,11000000,Drama,Comedy,Romance,,,98,Dustin Hoffman,175,0,123,Sheridan Smith,358,Luke Newberry,15684,1114,Pauline Collins,4,divorced couple|opera|reference to giuseppe verdi|retirement|senility,English,UK,156,6.8,13000
Queen of the Damned,"{'id': 217704, 'name': 'The Vampire Chronicles', 'poster_path': '/1Iop0dywqQeD5Mm7oRVR8vZ8gkj.jpg', 'backdrop_path': '/5margBoJC97ZrciVpAUc0PiY6Rc.jpg'}",35000000,Drama,Fantasy,Horror,,,101,Michael Rymer,137,48,531,Lena Olin,775,Aaliyah,43991,3001,Bruce Spence,2,fatal attraction|interspecies romance|queen|supernatural power|vampire,English,USA,541,5.2,0
Quest for Fire,NA,12000000,Adventure,Drama,,,,100,Jean-Jacques Annaud,62,218,91,Everett McGill,581,Rae Dawn Chong,16281,931,Gary Schwartz,0,fire|prehistoric times|primitive|tribe|trio,None,Canada,201,7.4,0
Quills,NA,13500000,Drama,,,,,124,Philip Kaufman,132,133,170,Stephen Marcus,14000,Kate Winslet,44795,14726,Amelia Warner,1,asylum|lust|male pubic hair|penis|pubic hair,English,UK,230,7.4,0
Quo Vadis,NA,8250000,Drama,History,Romance,,,171,Mervyn LeRoy,54,54,346,Deborah Kerr,440,Peter Ustinov,9808,1373,Robert Taylor,0,christian|emperor|general|hostage|nero,English,USA,426,7.2,1000
Quo Vadis,NA,18000000,Drama,Foreign,Romance,,,170,Mervyn LeRoy,54,54,346,Deborah Kerr,440,Peter Ustinov,9808,1373,Robert Taylor,0,christian|emperor|general|hostage|nero,English,USA,426,7.2,1000
R.I.P.D.,NA,130000000,Fantasy,Action,Comedy,Crime,,96,Robert Schwentke,208,124,1000,Jeff Bridges,16000,Ryan Reynolds,91640,31549,Stephanie Szostak,2,drug dealer|gold|partner|police|undead,English,USA,12000,5.6,20000
R100,NA,5500000,Comedy,Drama,,,,100,Hitoshi Matsumoto,72,17,16,Hitoshi Matsumoto,31,Lindsay Kay Hayward,1658,81,Shinobu Terajima,0,coma|one word title|spitting|sushi|swimming pool,Japanese,Japan,17,6.1,543
Rabbit Hole,NA,5000000,Drama,,,,,91,John Cameron Mitchell,248,263,192,Jon Tenney,967,Dianne Wiest,40618,1582,Tammy Blanchard,0,car|comic book|comic book artist|iphone|memory,English,USA,289,7,0
Race,NA,5000000,Action,Drama,,,,134,Stephen Hopkins,125,81,388,Tony Curran,882,William Hurt,11744,2410,David Kross,0,1930s|athlete|nazi germany|olympics|track and field,English,Canada,845,7.1,0
Race to Witch Mountain,NA,50000000,Adventure,Family,Fantasy,Science Fiction,Thriller,98,Andy Fickman,166,99,433,Billy Brown,12000,Dwayne Johnson,43328,14007,Tom Everett Scott,3,alien|military|mountain|spacecraft|ufo,English,USA,536,5.7,0
Racing Stripes,NA,30000000,Comedy,,,,,102,Frederik Du Chau,73,7,521,Frankie Muniz,984,Bruce Greenwood,12570,2910,M. Emmet Walsh,0,farm|horse|kentucky|racehorse|zebra,English,USA,934,5.2,771
Radio,NA,32000000,Drama,,,,,109,Michael Tollin,74,19,568,Riley Smith,1000,Alfre Woodard,32370,4231,Debra Winger,1,coach|football|football coach|high school|radio,English,USA,762,6.9,0
Radio Days,NA,16000000,Comedy,Drama,,,,90,Woody Allen,64,11000,233,Don Pardo,854,Mike Starr,24256,1653,Julie Kavner,0,beach|cigarette girl|radio|woman holding a baby|working class,English,USA,410,7.6,0
Radio Flyer,NA,35000000,Drama,,,,,114,Richard Donner,10,503,697,Thomas Ian Nicholas,2000,Adam Baldwin,10410,4334,John Heard,3,father son relationship|physical abuse|radio flyer|stepfather|stepfather stepson relationship,English,USA,864,6.9,892
Raging Bull,NA,18000000,Drama,,,,,129,Martin Scorsese,151,17000,356,Cathy Moriarty,22000,Robert De Niro,235133,23008,Frank Vincent,1,boxing|domestic violence|hot temper|jealousy|rage,English,USA,394,8.3,0
Raiders of the Lost Ark,"{'id': 84, 'name': 'Indiana Jones Collection', 'poster_path': '/lpxDrACKJhbbGOlwVMNz5YCj6SI.jpg', 'backdrop_path': '/6kh59mZizZsttZPR0HAdXk6Ve2n.jpg'}",18000000,Adventure,Action,,,,115,Steven Spielberg,234,14000,488,Karen Allen,11000,Harrison Ford,661017,12906,William Hootkins,1,archeological dig|archeologist|ark of the covenant|egypt|nazi,English,USA,783,8.5,16000
Rain Man,NA,25000000,Drama,,,,,133,Barry Levinson,100,272,628,Valeria Golino,10000,Tom Cruise,383784,12285,Beth Grant,3,buick|convertible|last will and testament|savant|travel,English,USA,898,8,12000
Raise Your Voice,NA,15000000,Music,Drama,Romance,,,103,Sean McNamara,46,80,782,Rebecca De Mornay,1000,Oliver James,22649,4676,Jason Ritter,0,music school|scholarship|small town|stage fright|three word title,English,USA,872,5.9,1000
Raising Cain,NA,12000000,Drama,Horror,Thriller,Crime,,91,Brian De Palma,33,0,298,Gabrielle Carteris,636,Steven Bauer,9903,1852,Gregg Henry,0,hitchcockian|long tracking shot|psychologist|psychology|wig,English,USA,330,6,541
Raising Helen,NA,50000000,Drama,Comedy,Romance,,,119,Garry Marshall,93,0,434,Felicity Huffman,627,Amber Valletta,30890,2052,Spencer Breslin,1,fashion show|female protagonist|love|pastor|queens new york city,English,USA,508,6,718
Raising Victor Vargas,NA,800000,Drama,Romance,,,,88,Peter Sollett,59,6,68,Melonie Diaz,302,Victor Rasuk,4743,663,Judy Marte,1,based on short film|manhattan new york city|urination|vomiting|watching television,English,France,270,7.2,219
Rambo III,"{'id': 5039, 'name': 'Rambo Collection', 'poster_path': '/feGOEOVrOLyjtEnVa88rQLgD3XY.jpg', 'backdrop_path': '/Yt2ZxbJv2HM842B6FNMr59Vhyb.jpg'}",63000000,Action,Adventure,Thriller,War,,102,Peter MacDonald,84,10,349,Kurtwood Smith,13000,Sylvester Stallone,92106,14574,Richard Crenna,1,afghanistan|colonel|rambo|rescue|soviet,English,USA,1000,5.7,2000
Rambo: First Blood Part II,"{'id': 5039, 'name': 'Rambo Collection', 'poster_path': '/feGOEOVrOLyjtEnVa88rQLgD3XY.jpg', 'backdrop_path': '/Yt2ZxbJv2HM842B6FNMr59Vhyb.jpg'}",44000000,Action,Adventure,Thriller,War,,96,George P. Cosmatos,96,170,668,Julia Nickson,13000,Sylvester Stallone,117606,15662,Martin Kove,0,1980s|mission|prison|rambo|vietnam,English,USA,738,6.4,0
Rampage,NA,0,Thriller,Drama,,,,97,Uwe Boll,58,892,492,Katharine Isabelle,986,Matt Frewer,15091,3197,Michael Paré,0,death|first part|killing spree|massacre|murder,English,Canada,918,6.3,0
Random Hearts,NA,64000000,Drama,Romance,,,,133,Sydney Pollack,96,521,970,Kristin Scott Thomas,11000,Harrison Ford,17025,16710,Bill Cobbs,1,death|plane crash|police|police sergeant|politician,English,USA,1000,5.1,295
Rang De Basanti,NA,2200000,Drama,,,,,157,Rakeysh Omprakash Mehra,33,85,199,Steven Mackintosh,397,Anupam Kher,70233,1519,Madhavan,0,freedom|friend|india|student|urination,Hindi,India,227,8.4,0
Rango,NA,135000000,Animation,Comedy,Family,Western,Adventure,107,Gore Verbinski,362,563,939,Ray Winstone,40000,Johnny Depp,183208,43291,Stephen Root,0,chameleon|lizard|sheriff|water|western town,English,USA,1000,7.2,26000
Ransom,NA,80000000,Action,Thriller,,,,117,Ron Howard,79,2000,808,Delroy Lindo,960,Lili Taylor,98989,3667,Rene Russo,1,bounty|fbi|millionaire|money|ransom,English,USA,848,6.6,1000
Rapa Nui,NA,20000000,Adventure,,,,,107,Kevin Reynolds,9,58,324,Jason Scott Lee,699,Esai Morales,3843,1592,Sandrine Holt,1,easter island|location in title|statue|topless female nudity|two word title,English,USA,533,6.4,399
Rat Race,NA,48000000,Adventure,Comedy,,,,112,Jerry Zucker,103,109,261,Douglas Haase,779,Corinna Harney,93367,1823,Vince Vieluf,8,casino|locker|money|museum|race,English,Canada,629,6.4,0
Ratatouille,NA,150000000,Animation,Comedy,Family,Fantasy,,111,Brad Bird,318,663,954,John Ratzenberger,1000,Janeane Garofalo,473887,4764,Brian Dennehy,0,chef|food|french|rat|restaurant,English,USA,1000,8,10000
Ravenous,NA,12000000,Comedy,Horror,Thriller,Western,,100,Antonia Bird,131,61,611,Jeffrey Jones,769,Jeremy Davies,29990,2543,David Arquette,0,based on true story|cannibalism|captain|mexican american war|u.s. frontier,English,Czech Republic,692,7.1,0
Ray,NA,40000000,Drama,Music,,,,152,Taylor Hackford,209,138,748,Curtis Armstrong,904,Bokeem Woodbine,110394,5074,Harry Lennix,0,1950s|1960s|racism|rhythm and blues|singer,English,USA,876,7.7,0
Re-Kill,NA,9500000,Horror,Science Fiction,,,,87,Valeri Milev,18,6,200,Roger Cross,557,Daniella Alonso,1763,1702,Jesse Garcia,0,after dark|after dark horrorfest|fictional tv news show|outbreak,English,USA,290,5.1,898
Ready to Rumble,NA,24000000,Action,Comedy,Drama,,,107,Brian Robbins,51,48,940,Ellen Albertini Dow,1000,Oliver Platt,11709,4971,Martin Landau,1,gay subtext|homoerotic fight|homoeroticism|homosexual subtext|wcw wrestling,English,USA,957,5.3,650
Real Steel,NA,110000000,Action,Science Fiction,Drama,,,127,Shawn Levy,327,189,544,Torey Michael Adkins,20000,Hugh Jackman,254841,22254,Olga Fonda,1,arena|boxing|boxing movie|robot|robot battle,English,USA,929,7.1,36000
Rebecca,NA,1288000,Drama,Mystery,,,,130,Alfred Hitchcock,144,13000,333,Joan Fontaine,1000,Laurence Olivier,87424,2888,George Sanders,2,death|estate|housekeeper|love|monte carlo,English,USA,991,8.2,0
Recess: School's Out,"{'id': 421084, 'name': 'Disneys Große Pause', 'poster_path': '/4DNU3wts3ScQ7rOLCDr6G7Zqzuf.jpg', 'backdrop_path': '/7VvA9Q8JEtbfmOcTgzj0brdgzbz.jpg'}",10000000,Science Fiction,Animation,Comedy,Family,,83,Chuck Sheetz,44,6,345,Andrew Lawrence,759,Diedrich Bader,6808,2197,Dabney Coleman,0,friend|principal|summer|summer camp|summer vacation,English,USA,563,6.5,227
RED,"{'id': 163902, 'name': 'RED Collection', 'poster_path': '/d9T3DkXxDahif4eXPzrH28yayaL.jpg', 'backdrop_path': '/7OsWpRJowfXdZ610iKiBA7FzaD6.jpg'}",58000000,Action,Adventure,Comedy,Crime,Thriller,111,Robert Schwentke,315,124,357,Morgan Freeman,13000,Bruce Willis,238916,24928,Jaqueline Fleming,4,cia|female assassin|interrogation|office cubicle|spy,English,USA,11000,7.1,32000
RED 2,"{'id': 163902, 'name': 'RED Collection', 'poster_path': '/d9T3DkXxDahif4eXPzrH28yayaL.jpg', 'backdrop_path': '/7OsWpRJowfXdZ610iKiBA7FzaD6.jpg'}",84000000,Action,Comedy,Crime,Thriller,,116,Dean Parisot,234,23,110,Anthony Hopkins,13000,Bruce Willis,125036,25220,Garrick Hagon,7,cia|cia agent|rescue|russian|team,English,USA,12000,6.7,22000
Red Cliff,"{'id': 96677, 'name': 'Red Cliff Collection', 'poster_path': '/3KFgWRuNk3d9QGCnQUXKJSsfrLC.jpg', 'backdrop_path': '/46G7BAqK6LDAxIFVLq926rzN65o.jpg'}",80341000,Adventure,Drama,Action,,,150,John Woo,160,610,478,Tony Chiu Wai Leung,755,Takeshi Kaneshiro,36894,2172,Wei Zhao,4,alliance|battle|china|chinese|strategy,Mandarin,China,643,7.4,0
Red Dawn,NA,65000000,War,Action,Thriller,Science Fiction,,93,John Milius,97,468,919,Jennifer Grey,1000,Lea Thompson,41776,3860,William Smith,0,guerrilla|high school|invasion|soviet|wolverine,English,USA,1000,6.4,0
Red Dawn,NA,4200000,Action,Thriller,,,,114,John Milius,97,468,919,Jennifer Grey,1000,Lea Thompson,41776,3860,William Smith,0,guerrilla|high school|invasion|soviet|wolverine,English,USA,1000,6.4,0
Red Dragon,"{'id': 9743, 'name': 'The Hannibal Lecter Anthology', 'poster_path': '/aRbyr3KsdmIczGh6VrlvlgQdwMQ.jpg', 'backdrop_path': '/npCbvak9UhjPsZB9Oa2k2jsqI7E.jpg'}",78000000,Crime,Thriller,Horror,,,124,Brett Ratner,210,420,876,Anthony Hopkins,22000,Philip Seymour Hoffman,204063,35867,Emily Watson,0,criminal profile|fbi agent|madman|tabloid reporter|tragic villain,English,Germany,12000,7.2,0
Red Eye,NA,26000000,Horror,Thriller,,,,85,Wes Craven,224,0,178,Carl Gilliard,332,Robert Pine,94108,1090,Suzie Plakson,0,airport|flight|hotel|hotel manager|plane,English,USA,285,6.5,0
Red Lights,NA,14000000,Thriller,,,,,119,Rodrigo Cortés,195,89,920,Toby Jones,22000,Robert De Niro,48162,25804,Craig Roberts,2,fraud|physicist|psychic|skeptic|tailing,English,Spain,2000,6.2,10000
Red Planet,NA,80000000,Thriller,Action,Science Fiction,,,106,Antony Hoffman,145,14,0,Val Kilmer,2,Bob Neill,47612,2,Tom Sizemore,1,astronaut|mars|robot|robot as menace|survival,English,USA,0,5.7,995
Red Riding Hood,NA,42000000,Fantasy,Thriller,Horror,,,100,Catherine Hardwicke,291,308,913,Billy Burke,10000,Gary Oldman,91151,15369,Virginia Madsen,2,death|forest|love|werewolf|werewolf bite,English,USA,2000,5.4,20000
Red River,NA,3000000,Western,,,,,133,Howard Hawks,91,393,281,Walter Brennan,862,Montgomery Clift,21316,2269,Harry Carey Jr.,0,cattle|cattle drive|cowboy|kansas|texas,English,USA,376,7.8,0
Red Sonja,"{'id': 43055, 'name': 'Conan the Barbarian Collection', 'poster_path': '/vguM8mJmArTn9ePTm8fK0Ryt7EI.jpg', 'backdrop_path': '/lGhx5lQiPJ79piSrXHgN5pSmJjh.jpg'}",17900000,Adventure,Fantasy,Action,,,89,Richard Fleischer,59,130,183,Brigitte Nielsen,444,Ernie Reyes Jr.,30215,1243,Sandahl Bergman,1,cult film|psychotronic|sword and sorcery|talisman|warrior,English,Netherlands,312,5,0
Red State,NA,4000000,Horror,Action,Thriller,,,88,Kevin Smith,270,0,939,Michael Angarano,1000,Anna Gunn,53342,4777,Stephen Root,0,atf agent|ball gag|cult leader|pastor|pretending to be dead,English,USA,947,6.2,16000
Red Tails,NA,58000000,Drama,Action,Adventure,History,War,125,Anthony Hemingway,144,143,519,Nate Parker,1000,David Oyelowo,28807,4416,Tristan Mack Wilds,0,african american|battle|italy|tuskegee airmen|world war two,English,USA,664,5.9,0
Redacted,NA,5000000,Drama,War,,,,90,Brian De Palma,133,0,15,Daniel Stewart Sherman,343,Mike Figueroa,8824,408,Kel O'Neill,0,blood splatter|iraq|murder|rape|soldier,English,USA,29,6.2,559
Redbelt,NA,7000000,Drama,,,,,99,David Mamet,158,342,501,Randy Couture,1000,Alice Braga,18561,2158,Jose Pablo Cantillo,0,bar|debt|fight|instructor|jujitsu,English,USA,518,6.8,0
Reds,NA,32000000,Drama,History,,,,195,Warren Beatty,57,631,521,Warren Beatty,635,Paul Sorvino,16255,2291,M. Emmet Walsh,0,cold war|cold war era|interview|russia|written and directed by cast member,English,USA,631,7.5,0
Regression,NA,0,Horror,Mystery,Thriller,,,106,Alejandro Amenábar,140,448,648,Aaron Ashmore,9000,Emma Watson,20821,10982,Julian Richings,1,inspired by true events|memory|minnesota|police|year 1990,English,Spain,750,5.7,0
Reign of Assassins,NA,12000000,History,Action,,,,117,Chao-Bin Su,50,2,21,Shawn Yue,149,Woo-sung Jung,6069,243,Kelly Lin,2,martial arts|sword fight|wuxia,Mandarin,China,32,6.9,1000
Reign of Fire,NA,60000000,Adventure,Action,Fantasy,,,101,Rob Bowman,138,38,11000,Gerard Butler,23000,Christian Bale,107859,53024,Matthew McConaughey,0,castle|dragon|fire breathing dragon|militia|survival,English,USA,18000,6.2,0
Reign Over Me,NA,20000000,Drama,,,,,124,Mike Binder,154,57,905,Don Cheadle,11000,Adam Sandler,83786,17050,John de Lancie,2,college|depression|grief|mental breakdown|post september 11 2001,English,USA,3000,7.5,0
Reindeer Games,NA,42000000,Thriller,,,,,124,John Frankenheimer,126,287,475,James Frain,9000,Charlize Theron,31113,10838,Clarence Williams III,0,casino|christmas|christmas season|girlfriend|release from prison,English,USA,1000,5.7,852
Remember Me,NA,16000000,Drama,Romance,,,,113,Allen Coulter,158,47,238,Lena Olin,21000,Robert Pattinson,113963,22088,Ruby Jerins,0,binge drinking|new york|new york city|september 11 2001|suicide,English,USA,541,7.2,24000
Remember the Titans,NA,30000000,Drama,,,,,113,Boaz Yakin,157,132,1000,Denzel Washington,33000,Ryan Gosling,160776,54877,Ethan Suplee,1,american football|based on true story|head coach|high school|school,English,USA,18000,7.8,0
Renaissance,NA,18000000,Action,Animation,Science Fiction,,,105,Christian Volckman,112,2,69,Catherine McCormack,805,Romola Garai,14325,1185,Kevork Malikyan,0,future|kidnapping|missing file|paris france|year 2054,English,France,306,6.7,0
Renaissance Man,NA,40000000,Comedy,War,,,,128,Penny Marshall,12,545,353,Cliff Robertson,783,Ed Begley Jr.,13830,3126,Lillo Brancato,1,army|basic training|reference to shakespeare's hamlet|teacher|u.s. army,English,USA,754,6.1,680
Rendition,NA,27500000,Drama,Thriller,,,,120,Gavin Hood,131,151,11000,Jake Gyllenhaal,24000,J.K. Simmons,47203,50950,Meryl Streep,2,american|bare chested male bondage|cia|detention|interrogation,English,USA,15000,6.8,0
Reno 911!: Miami,NA,10000000,Action,Adventure,Comedy,Crime,,84,Robert Ben Garant,89,134,307,Thomas Lennon,655,Wendi McLendon-Covey,23928,2737,Carlos Alazraqui,2,beach|police|sex scene|spring break|vomiting,English,USA,651,5.9,441
Rent,NA,40000000,Drama,Romance,,,,135,Chris Columbus,146,0,715,David Fine,3000,Rosario Dawson,41685,5917,Jesse L. Martin,1,aids|hiv positive|lawyer|new york city|roommate,English,USA,1000,7,3000
Repo Man,NA,1500000,Comedy,Crime,Science Fiction,Thriller,,92,Alex Cox,131,92,166,Tracey Walter,752,Del Zamora,25332,1652,Miguel Sandoval,3,punk|punk rocker|repossession|televangelist|ufo,English,USA,324,6.9,0
Repo Men,NA,32000000,Action,Science Fiction,Thriller,Crime,,111,Miguel Sapochnik,197,238,447,RZA,1000,Alice Braga,87768,2925,Yvette Nicole Brown,0,artificial organ|best friend|enforcer|future|near future,English,USA,561,6.3,12000
Repo! The Genetic Opera,NA,0,Horror,Comedy,Music,Science Fiction,,98,Darren Lynn Bousman,147,163,636,Paris Hilton,2000,Alexa PenaVega,20419,4168,Paul Sorvino,1,future|murder|opera|repossession|surgery,English,USA,716,6.7,8000
Requiem for a Dream,NA,4500000,Crime,Drama,,,,102,Darren Aronofsky,234,0,167,Mark Margolis,1000,Ellen Burstyn,573541,2235,Louise Lasser,0,addiction|diet pill|drug addiction|fast motion scene|heroin,English,USA,1000,8.4,38000
Rescue Dawn,NA,10000000,Adventure,Drama,War,,,126,Werner Herzog,198,0,294,Toby Huss,23000,Christian Bale,84641,24270,François Chau,0,bombing|guard|jungle|laos|prisoner,English,USA,342,7.3,0
Reservoir Dogs,NA,1200000,Crime,Thriller,,,,99,Quentin Tarantino,173,16000,455,Steve Buscemi,16000,Quentin Tarantino,664719,28994,Chris Penn,0,gang|heist|heist gone wrong|nonlinear timeline|robbery,English,USA,12000,8.4,19000
Resident Evil,"{'id': 17255, 'name': 'Resident Evil Collection', 'poster_path': '/bqnMPsZr9vhjJIwLxc3XzHkYORM.jpg', 'backdrop_path': '/8utTJ9WoQeYcZ0Ztciv6auqwLXl.jpg'}",33000000,Horror,Action,Science Fiction,,,100,Paul W.S. Anderson,226,545,766,Jaymes Butler,14000,Milla Jovovich,198701,17902,Colin Salmon,0,amnesia|quarantine|special forces|virus|zombie,English,UK,2000,6.7,0
Resident Evil: Afterlife,"{'id': 17255, 'name': 'Resident Evil Collection', 'poster_path': '/bqnMPsZr9vhjJIwLxc3XzHkYORM.jpg', 'backdrop_path': '/8utTJ9WoQeYcZ0Ztciv6auqwLXl.jpg'}",60000000,Action,Adventure,Horror,Science Fiction,,97,Paul W.S. Anderson,253,545,529,Boris Kodjoe,14000,Milla Jovovich,131447,16098,Shawn Roberts,1,alaska|female gunfighter|mutation|ship|siege,English,Germany,1000,5.9,19000
Resident Evil: Apocalypse,"{'id': 17255, 'name': 'Resident Evil Collection', 'poster_path': '/bqnMPsZr9vhjJIwLxc3XzHkYORM.jpg', 'backdrop_path': '/8utTJ9WoQeYcZ0Ztciv6auqwLXl.jpg'}",45000000,Horror,Action,Science Fiction,,,94,Alexander Witt,191,38,706,Thomas Kretschmann,14000,Milla Jovovich,151580,16791,Mike Epps,1,cover up|monster|strong female character|strong female lead|zombie apocalypse,English,Germany,919,6.2,0
Resident Evil: Extinction,"{'id': 17255, 'name': 'Resident Evil Collection', 'poster_path': '/bqnMPsZr9vhjJIwLxc3XzHkYORM.jpg', 'backdrop_path': '/8utTJ9WoQeYcZ0Ztciv6auqwLXl.jpg'}",45000000,Horror,Action,Science Fiction,,,94,Russell Mulcahy,216,85,443,Mike Epps,14000,Milla Jovovich,149549,16225,James Tumminia,1,clone|convoy|crow|desert|satellite,English,France,706,6.3,0
Resident Evil: Retribution,"{'id': 17255, 'name': 'Resident Evil Collection', 'poster_path': '/bqnMPsZr9vhjJIwLxc3XzHkYORM.jpg', 'backdrop_path': '/8utTJ9WoQeYcZ0Ztciv6auqwLXl.jpg'}",65000000,Action,Horror,Science Fiction,,,95,Paul W.S. Anderson,239,545,974,Boris Kodjoe,14000,Milla Jovovich,104831,17913,Bingbing Li,0,corporation|fight|rescue|umbrella|zombie,English,Germany,1000,5.4,32000
Restless,NA,8000000,Drama,Romance,,,,91,Edward Hall,17,0,844,Hayley Atwell,3000,Rufus Sewell,2098,6343,Charlotte Rampling,2,espionage|motel|mother son relationship|murder disguised as suicide|shot in the head,English,UK,2000,7.2,434
Restoration,NA,19000000,Drama,Romance,,,,117,Zack Ward,15,662,161,Anna Harr,662,Zack Ward,436,1498,James Cullen Bressack,0,NA,English,USA,290,4,378
Return to Me,NA,24000000,Romance,Comedy,Drama,,,115,Bonnie Hunt,106,597,597,Jim Belushi,893,Minnie Driver,16469,3946,Bonnie Hunt,1,heart|italian restaurant|restaurant|transplant|waitress,English,USA,854,6.9,0
Return to Never Land,"{'id': 55422, 'name': 'Peter Pan Collection', 'poster_path': '/t0mINaIut2aDKdGseQtC7UcbRNW.jpg', 'backdrop_path': '/AnhKboZjfeGuHI6qg7pp9RCesTF.jpg'}",20000000,Adventure,Fantasy,Animation,Family,,72,Robin Budd,80,2,434,Rob Paulsen,1000,Roger Rees,13324,3402,Spencer Breslin,1,1940s|gang that lives together|outlaw gang|rescue|sequel,English,USA,677,5.8,302
Return to Oz,NA,25000000,Adventure,Family,Fantasy,,,109,Walter Murch,56,181,137,Jean Marsh,303,Piper Laurie,19568,960,Tim Rose,0,chicken|delusional depression|doctor|king|mysterious girl,English,UK,146,6.7,0
Return to the Blue Lagoon,"{'id': 59586, 'name': 'The Blue Lagoon collection', 'poster_path': '/A4U11Zhp5KjiKOrghNlqNlmrbhw.jpg', 'backdrop_path': '/m8LAOuIhlCBr6dWdtVF2C2ioMrc.jpg'}",11000000,Adventure,,,,,98,William A. Graham,14,8,40,Wayne Pygram,14000,Milla Jovovich,14129,14281,Lisa Pelikan,1,baby|desert island|island|sequel|teenage girl,English,USA,163,5.1,967
Revolution,NA,28000000,Adventure,Drama,History,War,,126,NA,23,NA,576,Tracy Spiridakos,2000,Billy Burke,72017,5052,David Lyons,6,2020s|near future|one word series title|post apocalypse|year 2027,English,USA,821,6.7,17000
Revolutionary Road,NA,35000000,Drama,Romance,,,,119,Sam Mendes,323,0,10000,Kate Winslet,29000,Leonardo DiCaprio,152591,53895,Joe Komara,0,based on novel|children|connecticut|suburb|work,English,USA,14000,7.3,0
Ri¢hie Ri¢h,"{'id': 167985, 'name': 'Richie Rich Collection', 'poster_path': None, 'backdrop_path': None}",40000000,Comedy,Family,,,,95,Donald Petrie,19,80,287,John Larroquette,3000,Macaulay Culkin,49612,4634,Jonathan Hyde,1,attempted murder|based on comic book|escape from prison|lost at sea|wealth,English,USA,450,5.2,0
